ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742126::Name,1075849056::Physical Data Type,1073742125::Definition,1075849148::Comments
"1075838981::186","rental rate",Column,"rental rate","numeric","Amount charged for the rental of a movie","Amount charged for the rental of a movie"
"1075838981::187","movie url",Column,"movie url","varchar","The location on the internet where the movie clip is stored","The location on the internet where the movie clip is stored"
"1075838981::188","movie clip",Column,"movie clip","varbinary","Stored Movie clip","Stored Movie clip"
"1075838981::189","store number",Column,"store number","integer","A unique identifier of the video store","A unique identifier of the video store"
"1075838981::202","soc sec number",Column,"soc sec number","integer","Social Security Number","Social Security Number"
"1075838981::204","employee phone",Column,"employee phone","integer","Employee’s home phone number","Employee’s home phone number"
"1075838981::210","movie copy number",Column,"movie copy number","integer","A unique number  identifying the movie copy","A unique number  identifying the movie copy"
"1075838981::215","movie number",Column,"movie number","integer","A unique number that identifies a movie","A unique number that identifies a movie"
"1075838981::218","movie number",Column,"movie number","integer","A unique number that identifies a movie","A unique number that identifies a movie"
"1075838981::223","store number",Column,"store number","integer","A unique identifier of the video store","A unique identifier of the video store"
"1075838981::227","supervisor",Column,"supervisor","varchar(20)","A unique number that identifies the employee","A unique number that identifies the employee"
"1075838981::244","customer number",Column,"customer number","integer","A unique number associated with Customer","A unique number associated with Customer"
"1075838981::246","customer address",Column,"customer address","varchar(20)","Street address of the customer","Street address of the customer"
"1075838981::247","customer city",Column,"customer city","varchar(20)","City associated with Customer’s address","City associated with Customer’s address"
"1075838981::248","customer first name",Column,"customer first name","varchar(20)","First name of a Customer","First name of a Customer"
"1075838981::249","customer last name",Column,"customer last name","varchar(20)","Last name of a Customer","Last name of a Customer"
"1075838981::250","customer state",Column,"customer state","varchar(20)","The two-character state abbreviation associated with customer’s address","The two-character state abbreviation associated with customer’s address"
"1075838981::251","customer zip code",Column,"customer zip code","integer","zip-code associated with Customer’s address","zip-code associated with Customer’s address"
"1075838981::252","email",Column,"email","varchar","The email address associated with a customer","The email address associated with a customer"
"1075838981::259","customer number",Column,"customer number","integer","A unique number associated with Customer","A unique number associated with Customer"
"1075838981::264","customer number",Column,"customer number","integer","A unique number associated with Customer","A unique number associated with Customer"
"1075838981::266","credit card",Column,"credit card","integer","A credit card number associated with Customer","A credit card number associated with Customer"
"1075838981::267","credit card exp",Column,"credit card exp","integer","Expiration date on the customer’s credit card","Expiration date on the customer’s credit card"
"1075838981::268","status code",Column,"status code","varchar(20)","Payment status associated with a Customer","Payment status associated with a Customer"
"1075838981::279","credit_card",Column,"credit_card","integer","A credit card number associated with Customer","A credit card number associated with Customer"
"1075838981::280","credit_card_exp",Column,"credit_card_exp","integer","Expiration date on the customer’s credit card","Expiration date on the customer’s credit card"
"1075838981::281","status_code",Column,"status_code","varchar(20)","Payment status associated with a Customer","Payment status associated with a Customer"
"1075838981::283","customer_number",Column,"customer_number","integer","A unique number associated with Customer","A unique number associated with Customer"
"1075838981::284","customer_address",Column,"customer_address","varchar(20)","Street address of the customer","Street address of the customer"
"1075838981::285","customer_city",Column,"customer_city","varchar(20)","City associated with Customer’s address","City associated with Customer’s address"
"1075838981::286","customer_first_name",Column,"customer_first_name","varchar(20)","First name of a Customer","First name of a Customer"
"1075838981::287","customer_last_name",Column,"customer_last_name","varchar(20)","Last name of a Customer","Last name of a Customer"
"1075838981::288","customer_state",Column,"customer_state","varchar(20)","The two-character state abbreviation associated with customer’s address","The two-character state abbreviation associated with customer’s address"
"1075838981::289","customer_zip_code",Column,"customer_zip_code","integer","zip-code associated with Customer’s address","zip-code associated with Customer’s address"
"1075838981::290","email",Column,"email","varchar","The email address associated with a customer","The email address associated with a customer"
"1075838981::292","rental_record_date",Column,"rental_record_date","datetime","The date on which the rental transaction  is recorded","The date on which the rental transaction  is recorded"
"1075838981::293","movie_copy_number",Column,"movie_copy_number","integer","A unique number  identifying the movie copy","A unique number  identifying the movie copy"
"1075838981::294","movie_number",Column,"movie_number","integer","A unique number that identifies a movie","A unique number that identifies a movie"
"1075838981::295","rental_date",Column,"rental_date","datetime","The date on which the movie was rented","The date on which the movie was rented"
"1075838981::296","due_date",Column,"due_date","datetime","The date on which the  movie is due back to the store","The date on which the  movie is due back to the store"
"1075838981::297","rental_status",Column,"rental_status","varchar(20)","Rental status of the movie copy","Rental status of the movie copy"
"1075838981::298","overdue_charge",Column,"overdue_charge","integer","The amount owed for an overdue movie rental","The amount owed for an overdue movie rental"
"1075838981::299","rental_rate",Column,"rental_rate","integer","Amount charged for the rental of a movie","Amount charged for the rental of a movie"
"1075838981::301","movie_title",Column,"movie_title","varchar(20)","",""
"1075838981::303","credit_card",Column,"credit_card","integer","A credit card number associated with Customer","A credit card number associated with Customer"
"1075838981::304","credit_card_exp",Column,"credit_card_exp","integer","Expiration date on the customer’s credit card","Expiration date on the customer’s credit card"
"1075838981::305","status_code",Column,"status_code","varchar(20)","Payment status associated with a Customer","Payment status associated with a Customer"
"1075838981::306","Overdue_Charge_Rate",Column,"Overdue_Charge_Rate","char(18)","",""
"1075838981::308","customer_number",Column,"customer_number","integer","A unique number associated with Customer","A unique number associated with Customer"
"1075838981::309","customer_address",Column,"customer_address","varchar(20)","Street address of the customer","Street address of the customer"
"1075838981::310","customer_city",Column,"customer_city","varchar(20)","City associated with Customer’s address","City associated with Customer’s address"
"1075838981::311","customer_first_name",Column,"customer_first_name","varchar(20)","First name of a Customer","First name of a Customer"
"1075838981::312","customer_last_name",Column,"customer_last_name","varchar(20)","Last name of a Customer","Last name of a Customer"
"1075838981::313","customer_state",Column,"customer_state","varchar(20)","The two-character state abbreviation associated with customer’s address","The two-character state abbreviation associated with customer’s address"
"1075838981::314","customer_zip_code",Column,"customer_zip_code","integer","zip-code associated with Customer’s address","zip-code associated with Customer’s address"
"1075838981::315","email",Column,"email","varchar","The email address associated with a customer","The email address associated with a customer"
"1075838981::317","rental_record_date",Column,"rental_record_date","datetime","The date on which the rental transaction  is recorded","The date on which the rental transaction  is recorded"
"1075838981::318","movie_copy_number",Column,"movie_copy_number","integer","A unique number  identifying the movie copy","A unique number  identifying the movie copy"
"1075838981::319","movie_number",Column,"movie_number","integer","A unique number that identifies a movie","A unique number that identifies a movie"
"1075838981::320","rental_date",Column,"rental_date","datetime","The date on which the movie was rented","The date on which the movie was rented"
"1075838981::321","due_date",Column,"due_date","datetime","The date on which the  movie is due back to the store","The date on which the  movie is due back to the store"
"1075838981::322","rental_status",Column,"rental_status","varchar(20)","Rental status of the movie copy","Rental status of the movie copy"
"1075838981::323","overdue_charge",Column,"overdue_charge","integer","The amount owed for an overdue movie rental","The amount owed for an overdue movie rental"
"1075838981::324","rental_rate",Column,"rental_rate","integer","Amount charged for the rental of a movie","Amount charged for the rental of a movie"
"1075838981::325","Overdue_Charge_Rate",Column,"Overdue_Charge_Rate","char(18)","",""
"1075838981::330","movie number",Column,"movie number","integer","A unique number that identifies a movie","A unique number that identifies a movie"
"1075838981::335","store number",Column,"store number","integer","A unique identifier of the video store","A unique identifier of the video store"
"1075838981::340","payment transaction number",Column,"payment transaction number","integer","A unique number associated with the payment","A unique number associated with the payment"
"1075838981::342","payment type",Column,"payment type","char(18)","check\, credit card\, e-payment.","check\, credit card\, e-payment."
"1075838981::343","payment amount",Column,"payment amount","numeric","The amount paid to rent the movie","The amount paid to rent the movie"
"1075838981::344","payment date",Column,"payment date","datetime","The date on which the movie was rented","The date on which the movie was rented"
"1075838981::345","payment status",Column,"payment status","varchar(1)","The status of the payment","The status of the payment"
"1075838981::346","check bank number",Column,"check bank number","integer","The bank number associated with the check issued for payment","The bank number associated with the check issued for payment"
"1075838981::347","check number",Column,"check number","integer","",""
"1075838981::348","epay vendor number",Column,"epay vendor number","integer","Defines the vendor associated with the customer’s electronic payment","Defines the vendor associated with the customer’s electronic payment"
"1075838981::349","epay account number",Column,"epay account number","integer","Defines the customer account associated with the  electronic payment","Defines the customer account associated with the  electronic payment"
"1075838981::350","credit card number",Column,"credit card number","char(18)","The number of the customer credit card","The number of the customer credit card"
"1075838981::351","credit card exp",Column,"credit card exp","datetime","Expiration date on the customer’s credit card","Expiration date on the customer’s credit card"
"1075838981::352","credit card type",Column,"credit card type","char(18)","",""
"1075838981::355","employee number",Column,"employee number","varchar(20)","A unique number that identifies the employee","A unique number that identifies the employee"
"1075838981::359","Customer No",Column,"Customer No","integer","A unique number associated with a customer","A unique number associated with a customer"
"1075838981::363","customer number",Column,"customer number","integer","A unique number associated with a customer","A unique number associated with a customer"
"1075838981::367","payment transaction number",Column,"payment transaction number","integer","A unique number associated with the payment","A unique number associated with the payment"
